"Destination","Area code","Calls","Client minutes","Sell rate","Income","Currency","Period"
"MEXICO CELLULAR IUSACELL","521333100",2,2,0.0058,0.0116,"EUR","10/05/19 10/08/19"
"MEXICO CELLULAR IUSACELL","521333127",5,8,0.0058,0.04639,"EUR","10/02/19 10/04/19"
"MEXICO CELLULAR IUSACELL","521333128",5,5,0.0058,0.02901,"EUR","10/07/19 10/07/19"
"MEXICO CELLULAR IUSACELL","521333129",1,2,0.0058,0.0116,"EUR","10/02/19 10/02/19"
"MEXICO CELLULAR IUSACELL","521333132",4,13,0.0058,0.07539,"EUR","10/04/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521333136",1,3,0.0058,0.0174,"EUR","10/13/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521333148",1,1,0.0058,0.0058,"EUR","10/07/19 10/07/19"
"MEXICO CELLULAR IUSACELL","521333190",2,2,0.0058,0.01161,"EUR","10/01/19 10/01/19"
"MEXICO CELLULAR IUSACELL","521333191",1,1,0.0058,0.0058,"EUR","10/05/19 10/05/19"
"MEXICO CELLULAR IUSACELL","521333192",1,1,0.0058,0.0058,"EUR","10/12/19 10/12/19"
"MEXICO CELLULAR IUSACELL","52133335",2,19,0.0058,0.1102,"EUR","10/04/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521333363",2,2,0.0058,0.01161,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521333368",3,4,0.0058,0.0232,"EUR","10/04/19 10/07/19"
"MEXICO CELLULAR IUSACELL","52133337",3,3,0.0058,0.0174,"EUR","10/05/19 10/08/19"
"MEXICO CELLULAR IUSACELL","52133355",1,1,0.0058,0.0058,"EUR","10/08/19 10/08/19"
"MEXICO CELLULAR IUSACELL","52133357",3,4,0.0058,0.0232,"EUR","10/03/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521333584",1,19,0.0058,0.1102,"EUR","10/04/19 10/04/19"
"MEXICO CELLULAR IUSACELL","521333589",1,3,0.0058,0.0174,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521333661",2,14,0.0058,0.0812,"EUR","10/02/19 10/09/19"
"MEXICO CELLULAR IUSACELL","521333874",1,1,0.0058,0.0058,"EUR","10/15/19 10/15/19"
"MEXICO CELLULAR IUSACELL","52133459",2,2,0.0058,0.0116,"EUR","10/06/19 10/06/19"
"MEXICO CELLULAR IUSACELL","521348102",1,1,0.0058,0.0058,"EUR","10/08/19 10/08/19"
"MEXICO CELLULAR IUSACELL","521348105",1,1,0.0058,0.0058,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521348126",1,1,0.0058,0.0058,"EUR","10/11/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521348127",3,3,0.0058,0.01741,"EUR","10/07/19 10/07/19"
"MEXICO CELLULAR IUSACELL","521348138",1,1,0.0058,0.0058,"EUR","10/08/19 10/08/19"
"MEXICO CELLULAR IUSACELL","521348141",2,2,0.0058,0.0116,"EUR","10/03/19 10/09/19"
"MEXICO CELLULAR IUSACELL","521351123",2,2,0.0058,0.0116,"EUR","10/05/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521351196",2,2,0.0058,0.0116,"EUR","10/01/19 10/06/19"
"MEXICO CELLULAR IUSACELL","52135120",1,1,0.0058,0.0058,"EUR","10/02/19 10/02/19"
"MEXICO CELLULAR IUSACELL","521351510",4,4,0.0058,0.0232,"EUR","10/03/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521352115",1,1,0.0058,0.0058,"EUR","10/04/19 10/04/19"
"MEXICO CELLULAR IUSACELL","521352120",2,2,0.0058,0.0116,"EUR","10/01/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521395105",3,3,0.0058,0.01739,"EUR","10/12/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521395121",1,1,0.0058,0.0058,"EUR","10/12/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521395124",2,2,0.0058,0.0116,"EUR","10/09/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521411110",4,4,0.0058,0.0232,"EUR","10/02/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521411113",1,1,0.0058,0.0058,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521411127",1,1,0.0058,0.0058,"EUR","10/01/19 10/01/19"
"MEXICO CELLULAR IUSACELL","521411143",7,7,0.0058,0.04062,"EUR","10/01/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521411152",5,5,0.0058,0.02901,"EUR","10/01/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521411153",5,5,0.0058,0.02902,"EUR","10/07/19 10/08/19"
"MEXICO CELLULAR IUSACELL","521411593",7,7,0.0058,0.04061,"EUR","10/01/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521412104",1,1,0.0058,0.0058,"EUR","10/07/19 10/07/19"
"MEXICO CELLULAR IUSACELL","521412111",8,8,0.0058,0.04639,"EUR","10/03/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521412116",1,1,0.0058,0.0058,"EUR","10/12/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521412122",5,5,0.0058,0.029,"EUR","10/04/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521412145",4,4,0.0058,0.02321,"EUR","10/02/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521412146",4,4,0.0058,0.02321,"EUR","10/08/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521413131",1,1,0.0058,0.0058,"EUR","10/10/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521413132",9,9,0.0058,0.0522,"EUR","10/02/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521413133",3,3,0.0058,0.01741,"EUR","10/01/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521414279",2,2,0.0058,0.0116,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521415103",2,2,0.0058,0.01161,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521415105",1,5,0.0058,0.029,"EUR","10/01/19 10/01/19"
"MEXICO CELLULAR IUSACELL","521415130",1,1,0.0058,0.0058,"EUR","10/14/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521417109",3,3,0.0058,0.0174,"EUR","10/02/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521417127",1,1,0.0058,0.0058,"EUR","10/11/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521417178",5,5,0.0058,0.02901,"EUR","10/01/19 10/05/19"
"MEXICO CELLULAR IUSACELL","521418101",2,2,0.0058,0.0116,"EUR","10/13/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521418103",1,1,0.0058,0.0058,"EUR","10/13/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521418105",11,11,0.0058,0.06381,"EUR","10/01/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521418106",6,6,0.0058,0.03481,"EUR","10/05/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521418124",5,5,0.0058,0.029,"EUR","10/02/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521418139",4,4,0.0058,0.02321,"EUR","10/05/19 10/08/19"
"MEXICO CELLULAR IUSACELL","521418142",3,3,0.0058,0.0174,"EUR","10/01/19 10/05/19"
"MEXICO CELLULAR IUSACELL","521418149",2,2,0.0058,0.01159,"EUR","10/13/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521418181",5,5,0.0058,0.02899,"EUR","10/08/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521418184",1,1,0.0058,0.0058,"EUR","10/07/19 10/07/19"
"MEXICO CELLULAR IUSACELL","521419111",2,2,0.0058,0.0116,"EUR","10/10/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521419137",2,2,0.0058,0.0116,"EUR","10/04/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521419151",1,1,0.0058,0.0058,"EUR","10/05/19 10/05/19"
"MEXICO CELLULAR IUSACELL","521419297",9,9,0.0058,0.05222,"EUR","10/01/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521425138",3,3,0.0058,0.01739,"EUR","10/14/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521425145",7,7,0.0058,0.04059,"EUR","10/09/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521428104",2,2,0.0058,0.0116,"EUR","10/09/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521428119",4,4,0.0058,0.0232,"EUR","10/04/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521429108",8,8,0.0058,0.04641,"EUR","10/06/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521429125",2,2,0.0058,0.0116,"EUR","10/02/19 10/02/19"
"MEXICO CELLULAR IUSACELL","521429126",8,8,0.0058,0.04637,"EUR","10/01/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521429128",2,2,0.0058,0.0116,"EUR","10/05/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521429593",6,6,0.0058,0.03481,"EUR","10/04/19 10/06/19"
"MEXICO CELLULAR IUSACELL","521431110",7,7,0.0058,0.0406,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521431111",2,2,0.0058,0.0116,"EUR","10/06/19 10/06/19"
"MEXICO CELLULAR IUSACELL","521434148",4,4,0.0058,0.0232,"EUR","10/11/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521441112",3,3,0.0058,0.01739,"EUR","10/12/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521441113",2,2,0.0058,0.0116,"EUR","10/02/19 10/02/19"
"MEXICO CELLULAR IUSACELL","521441139",1,1,0.0058,0.0058,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521441154",4,4,0.0058,0.0232,"EUR","10/01/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521441252",2,2,0.0058,0.0116,"EUR","10/09/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521442132",1,1,0.0058,0.0058,"EUR","10/04/19 10/04/19"
"MEXICO CELLULAR IUSACELL","521442180",1,1,0.0058,0.0058,"EUR","10/14/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521442202",1,9,0.0058,0.0522,"EUR","10/07/19 10/07/19"
"MEXICO CELLULAR IUSACELL","521442258",1,1,0.0058,0.0058,"EUR","10/12/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521442259",1,1,0.0058,0.0058,"EUR","10/01/19 10/01/19"
"MEXICO CELLULAR IUSACELL","521442354",2,5,0.0058,0.029,"EUR","10/04/19 10/04/19"
"MEXICO CELLULAR IUSACELL","521442394",2,4,0.0058,0.0232,"EUR","10/02/19 10/08/19"
"MEXICO CELLULAR IUSACELL","521442479",1,1,0.0058,0.0058,"EUR","10/04/19 10/04/19"
"MEXICO CELLULAR IUSACELL","5214424839",2,5,0.0058,0.029,"EUR","10/03/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521442561",1,3,0.0058,0.0174,"EUR","10/08/19 10/08/19"
"MEXICO CELLULAR IUSACELL","521442668",1,1,0.0058,0.0058,"EUR","10/15/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521442669",5,5,0.0058,0.02899,"EUR","10/04/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521442724",1,1,0.0058,0.0058,"EUR","10/11/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521442747",4,4,0.0058,0.0232,"EUR","10/01/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521442749",1,3,0.0058,0.0174,"EUR","10/02/19 10/02/19"
"MEXICO CELLULAR IUSACELL","521442795",1,1,0.0058,0.0058,"EUR","10/07/19 10/07/19"
"MEXICO CELLULAR IUSACELL","521442797",1,2,0.0058,0.0116,"EUR","10/09/19 10/09/19"
"MEXICO CELLULAR IUSACELL","521443305",1,1,0.0058,0.0058,"EUR","10/04/19 10/04/19"
"MEXICO CELLULAR IUSACELL","521443440",1,2,0.0058,0.0116,"EUR","10/01/19 10/01/19"
"MEXICO CELLULAR IUSACELL","521443533",1,6,0.0058,0.0348,"EUR","10/12/19 10/12/19"
"MEXICO CELLULAR IUSACELL","521443534",2,3,0.0058,0.0174,"EUR","10/04/19 10/04/19"
"MEXICO CELLULAR IUSACELL","521443565",1,1,0.0058,0.0058,"EUR","10/01/19 10/01/19"
"MEXICO CELLULAR IUSACELL","521443651",1,3,0.0058,0.0174,"EUR","10/03/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521444103",1,1,0.0058,0.0058,"EUR","10/14/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521444120",3,5,0.0058,0.029,"EUR","10/04/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521444132",1,2,0.0058,0.0116,"EUR","10/09/19 10/09/19"
"MEXICO CELLULAR IUSACELL","521444492",1,1,0.0058,0.0058,"EUR","10/13/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521444520",1,2,0.0058,0.0116,"EUR","10/05/19 10/05/19"
"MEXICO CELLULAR IUSACELL","521444528",2,2,0.0058,0.0116,"EUR","10/05/19 10/05/19"
"MEXICO CELLULAR IUSACELL","521444534",1,1,0.0058,0.0058,"EUR","10/08/19 10/08/19"
"MEXICO CELLULAR IUSACELL","521444581",1,3,0.0058,0.0174,"EUR","10/10/19 10/10/19"
"MEXICO CELLULAR IUSACELL","521444599",1,1,0.0058,0.0058,"EUR","10/01/19 10/01/19"
"MEXICO CELLULAR IUSACELL","521444600",2,2,0.0058,0.0116,"EUR","10/01/19 10/03/19"
"MEXICO CELLULAR IUSACELL","52144463",2,32,0.0058,0.1856,"EUR","10/02/19 10/07/19"
"MEXICO CELLULAR IUSACELL","521444828",1,2,0.0058,0.0116,"EUR","10/01/19 10/01/19"
"MEXICO CELLULAR IUSACELL","521444840",3,6,0.0058,0.0348,"EUR","10/01/19 10/07/19"
"MEXICO CELLULAR IUSACELL","521447129",6,6,0.0058,0.03481,"EUR","10/10/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521447132",4,4,0.0058,0.02321,"EUR","10/02/19 10/03/19"
"MEXICO CELLULAR IUSACELL","521447135",3,3,0.0058,0.0174,"EUR","10/06/19 10/11/19"
"MEXICO CELLULAR IUSACELL","52144714",3,3,0.0058,0.01739,"EUR","10/14/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521448129",7,7,0.0058,0.04059,"EUR","10/05/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521448130",1,1,0.0058,0.0058,"EUR","10/11/19 10/11/19"
"MEXICO CELLULAR IUSACELL","521448279",3,3,0.0058,0.0174,"EUR","10/05/19 10/06/19"
"MEXICO CELLULAR IUSACELL","521449121",61,70,0.0058,0.40601,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449124",38,49,0.0058,0.28422,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449141",27,29,0.0058,0.16821,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449144",36,45,0.0058,0.26098,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449172",31,42,0.0058,0.24359,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449184",32,41,0.0058,0.2378,"EUR","10/03/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449187",51,56,0.0058,0.32478,"EUR","10/02/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521449208",2,2,0.0058,0.0116,"EUR","10/03/19 10/06/19"
"MEXICO CELLULAR IUSACELL","521449228",37,41,0.0058,0.23778,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449243",36,39,0.0058,0.22617,"EUR","10/03/19 10/15/19"
"MEXICO CELLULAR IUSACELL","5214492520",2,2,0.0058,0.0116,"EUR","10/05/19 10/12/19"
"MEXICO CELLULAR IUSACELL","5214492521",4,4,0.0058,0.02321,"EUR","10/03/19 10/13/19"
"MEXICO CELLULAR IUSACELL","5214492523",9,11,0.0058,0.06379,"EUR","10/04/19 10/15/19"
"MEXICO CELLULAR IUSACELL","5214492524",8,10,0.0058,0.05801,"EUR","10/03/19 10/12/19"
"MEXICO CELLULAR IUSACELL","5214492525",9,14,0.0058,0.0812,"EUR","10/03/19 10/15/19"
"MEXICO CELLULAR IUSACELL","5214492526",3,3,0.0058,0.0174,"EUR","10/07/19 10/14/19"
"MEXICO CELLULAR IUSACELL","5214492527",4,4,0.0058,0.02321,"EUR","10/06/19 10/06/19"
"MEXICO CELLULAR IUSACELL","5214492528",1,1,0.0058,0.0058,"EUR","10/05/19 10/05/19"
"MEXICO CELLULAR IUSACELL","521449271",1,1,0.0058,0.0058,"EUR","10/05/19 10/05/19"
"MEXICO CELLULAR IUSACELL","521449273",117,132,0.0058,0.76561,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449321",36,41,0.0058,0.23779,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449329",112,138,0.0058,0.8004,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449383",67,86,0.0058,0.49881,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449384",60,77,0.0058,0.44662,"EUR","10/02/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449385",69,87,0.0058,0.50454,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449386",333,416,0.0058,2.41277,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449387",234,296,0.0058,1.71686,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449404",11,14,0.0058,0.08118,"EUR","10/02/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521449405",34,44,0.0058,0.2552,"EUR","10/02/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449406",29,35,0.0058,0.203,"EUR","10/01/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521449432",48,52,0.0058,0.30162,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449433",189,231,0.0058,1.33976,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449434",59,67,0.0058,0.3886,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449435",43,68,0.0058,0.39439,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449436",6,6,0.0058,0.0348,"EUR","10/04/19 10/13/19"
"MEXICO CELLULAR IUSACELL","521449437",39,49,0.0058,0.28421,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449439",77,90,0.0058,0.52204,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449451",17,20,0.0058,0.11598,"EUR","10/02/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449463",33,38,0.0058,0.22043,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449464",47,52,0.0058,0.30161,"EUR","10/01/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521449465",49,63,0.0058,0.36537,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449467",46,51,0.0058,0.29579,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449479",28,33,0.0058,0.1914,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449482",16,18,0.0058,0.10441,"EUR","10/02/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449496",37,44,0.0058,0.25523,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449502",60,71,0.0058,0.41184,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449504",39,46,0.0058,0.26682,"EUR","10/02/19 10/14/19"
"MEXICO CELLULAR IUSACELL","521449512",65,77,0.0058,0.44661,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449513",120,142,0.0058,0.82373,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449514",93,104,0.0058,0.60325,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449516",131,145,0.0058,0.84105,"EUR","10/01/19 10/15/19"
"MEXICO CELLULAR IUSACELL","521449517",12,20,0.0058,0.11601,"EUR","10/06/19 10/15/19"
"MEXICO CELLULAR IUSACELL","52144952",5,5,0.0058,0.029,"EUR","10/09/19 10/15/19"
"MEXICO CELLULAR IUSACELL","5214495555",10,12,0.0058,0.0696,"EUR","10/03/19 10/14/19"
"MEXICO CELLULAR IUSACELL","5214495556",4,4,0.0058,0.0232,"EUR","10/04/19 10/14/19"
"MEXICO CELLULAR IUSACELL","5214495557",1,1,0.0058,0.0058,"EUR","10/02/19 10/02/19"
"MEXICO CELLULAR IUSACELL","5214495559",9,9,0.0058,0.0522,"EUR","10/04/19 10/13/19"
